player,position,team,age,club,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Aimen Dahmen,GK,Tunisia,25-317,CS Sfaxien,1997,3,3,270,3.0,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,
Alireza Beiranvand,GK,IR Iran,30-081,Persepolis,1992,2,2,109,1.2,1,0.83,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
Alisson,GK,Brazil,30-070,Liverpool,1992,4,4,379,4.2,2,0.47,7,5,71.4,2,1,0,2,50.0,0,0,0,0,
Andries Noppert,GK,Netherlands,28-248,Heerenveen,1994,5,5,480,5.3,4,0.75,22,18,86.4,3,2,0,2,40.0,1,1,0,0,0.0
André Onana,GK,Cameroon,26-253,Inter,1996,1,1,80,0.9,1,1.13,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Danny Ward,GK,Wales,29-172,Leicester City,1993,2,1,94,1.0,5,4.79,9,4,44.4,0,0,1,0,0.0,0,0,0,0,
Devis Epassy,GK,Cameroon,29-312,Abha,1993,2,2,180,2.0,3,1.50,12,9,75.0,1,1,0,1,50.0,0,0,0,0,
Diogo Costa,GK,Portugal,23-083,Porto,1999,5,5,450,5.0,6,1.20,17,11,64.7,3,0,2,1,20.0,0,0,0,0,
Dominik Livaković,GK,Croatia,27-336,Dinamo Zagreb,1995,5,5,510,5.7,3,0.53,22,19,86.4,1,4,0,2,40.0,0,0,0,0,
Ederson,GK,Brazil,29-116,Manchester City,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Edouard Mendy,GK,Senegal,30-285,Chelsea,1992,4,4,360,4.0,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,
Emiliano Martínez,GK,Argentina,30-100,Aston Villa,1992,5,5,480,5.3,5,0.94,6,2,16.7,3,1,1,2,40.0,0,0,0,0,
Gregor Kobel,GK,Switzerland,25-005,Dortmund,1997,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
Guillermo Ochoa,GK,Mexico,37-151,América,1985,3,3,270,3.0,3,1.00,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0
Hernán Galíndez,GK,Ecuador,35-256,SD Aucas,1987,3,3,270,3.0,3,1.00,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0
Hossein Hosseini,GK,IR Iran,30-164,Esteghlal,1992,2,1,161,1.8,6,3.35,10,4,40.0,1,0,0,1,100.0,0,0,0,0,
Hugo Lloris,GK,France,35-350,Tottenham,1986,4,4,360,4.0,4,1.00,12,8,83.3,4,0,0,0,0.0,3,2,0,1,0.0
Jordan Pickford,GK,England,28-279,Everton,1994,5,5,450,5.0,4,0.80,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0
Kasper Schmeichel,GK,Denmark,36-036,Nice,1986,3,3,270,3.0,3,1.00,11,8,72.7,0,1,2,1,33.3,0,0,0,0,
Keylor Navas,GK,Costa Rica,35-361,Paris S-G,1986,3,3,270,3.0,11,3.67,22,11,54.5,1,0,2,1,33.3,1,1,0,0,0.0
Kim Seung-gyu,GK,Korea Republic,32-072,Al-Shabab,1990,4,4,360,4.0,8,2.00,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0
Lawrence Ati-Zigi,GK,Ghana,26-012,St. Gallen,1996,3,3,270,3.0,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0
Manuel Neuer,GK,Germany,36-259,Bayern Munich,1986,3,3,270,3.0,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,
Mathew Ryan,GK,Australia,30-247,FC Copenhagen,1992,4,4,360,4.0,6,1.50,18,12,66.7,2,0,2,2,50.0,0,0,0,0,
Matt Turner,GK,United States,28-170,Arsenal,1994,4,4,360,4.0,4,1.00,12,8,75.0,1,2,1,2,50.0,1,1,0,0,0.0
